Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C11,C12,C13,C14,C15,C16,C2,C20,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,15
0.1uF,"C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0603_1608Metric,C1591,102
1.5A,F1,C70076_F1206,C70076,1
100uF,"C131,C18,C24,C25,C26,C27,C28",C_1206_3216Metric,C15008,7
10K,"R1,R4",R_0402_1005Metric,C2906861,2
10uF,"C22,C23",C_0805_2012Metric,C1713,2
12 MHz,Y1,C9002_CRYSTAL-SMD_4P-L3_2-W2_5-BL,C9002,1
1K,"R5,R6,R8",R_0402_1005Metric,C2906864,3
1uF,"C1,C10,C19",C_0402_1005Metric,C52923,3
27ohm,"R2,R3",R_0402_1005Metric,C2909343,2
27pF,"C17,C21",C_0402_1005Metric,C107002,2
330ohm,R10,R_0402_1005Metric,C2906929,1
5.1K,"R7,R9",R_0402_1005Metric,C2906874,2
D,"D10,D100,D101,D102,D103,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,C81598,102
LED red,STAT1,LED_0603_1608Metric,C965799,1
MCP1700T-3302E/TT,U4,C39051_SOT-23-3_L2_9-W1_6-P1_90-LS2_8-BR,C39051,1
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
SK6812MINI-E,"RGB1,RGB10,RGB100,RGB101,RGB102,RGB11,RGB12,RGB13,RGB14,RGB15,RGB16,RGB17,RGB18,RGB19,RGB2,RGB20,RGB21,RGB22,RGB23,RGB24,RGB25,RGB26,RGB27,RGB28,RGB29,RGB3,RGB30,RGB31,RGB32,RGB33,RGB34,RGB35,RGB36,RGB37,RGB38,RGB39,RGB4,RGB40,RGB41,RGB42,RGB43,RGB44,RGB45,RGB46,RGB47,RGB48,RGB49,RGB5,RGB50,RGB51,RGB52,RGB53,RGB54,RGB55,RGB56,RGB57,RGB58,RGB59,RGB6,RGB60,RGB61,RGB62,RGB63,RGB64,RGB65,RGB66,RGB67,RGB68,RGB69,RGB7,RGB70,RGB71,RGB72,RGB73,RGB74,RGB75,RGB76,RGB77,RGB78,RGB79,RGB8,RGB80,RGB81,RGB82,RGB83,RGB84,RGB85,RGB86,RGB87,RGB88,RGB89,RGB9,RGB90,RGB91,RGB92,RGB93,RGB94,RGB95,RGB96,RGB97,RGB98,RGB99",LED_SK6812MINI-E_Reverse Clearence fixed with 3d,C5149201,102
SN74LVC1T45DBV,U2,C7843_SOT-23-6_L2_9-W1_6-P0_95-LS2_8-BR,C7843,1
TYPE-C 16PIN 2MD(073),USB1,C2765186_USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186,1
USBLC6-2SC6,U5,C7519_SOT-23-6_L2_9-W1_6-P0_95-LS2_8-BL,C7519,1
W25Q128JVS,U1,C97521_SOIC-8_L5_3-W5_3-P1_27-LS8_0-BL,C97521,1
