Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,321.22,-39.871,180.0,bottom
C10,1uF,C_0402_1005Metric,310.507,-44.576,0.0,bottom
C100,0.1uF,C_0603_1608Metric,273.21,-67.8,0.0,bottom
C101,0.1uF,C_0603_1608Metric,301.45,-67.74,0.0,bottom
C102,0.1uF,C_0603_1608Metric,335.125515,-67.767339,0.0,bottom
C103,0.1uF,C_0603_1608Metric,358.48,-67.73,0.0,bottom
C104,0.1uF,C_0603_1608Metric,377.77,-67.78,0.0,bottom
C105,0.1uF,C_0603_1608Metric,397.003333,-67.731377,0.0,bottom
C106,0.1uF,C_0603_1608Metric,415.675,-67.731377,0.0,bottom
C107,0.1uF,C_0603_1608Metric,292.068,-43.918877,0.0,bottom
C108,0.1uF,C_0603_1608Metric,305.13,-46.735,90.0,bottom
C109,0.1uF,C_0603_1608Metric,334.579,-43.918877,0.0,bottom
C11,0.1uF,C_0402_1005Metric,322.582,-47.196,180.0,bottom
C110,0.1uF,C_0603_1608Metric,359.03,-43.918877,0.0,bottom
C111,0.1uF,C_0603_1608Metric,377.958333,-43.918877,0.0,bottom
C112,0.1uF,C_0603_1608Metric,396.886667,-43.918877,0.0,bottom
C113,0.1uF,C_0603_1608Metric,415.815,-43.918877,0.0,bottom
C114,0.1uF,C_0603_1608Metric,44.2,-67.731377,0.0,bottom
C115,0.1uF,C_0603_1608Metric,63.381,-67.744,0.0,bottom
C116,0.1uF,C_0603_1608Metric,82.456364,-67.729,0.0,bottom
C117,0.1uF,C_0603_1608Metric,101.531727,-67.676,0.0,bottom
C118,0.1uF,C_0603_1608Metric,120.607091,-67.676,0.0,bottom
C119,0.1uF,C_0603_1608Metric,139.682455,-67.72337,0.0,bottom
C12,0.1uF,C_0402_1005Metric,321.22,-43.911,180.0,bottom
C120,0.1uF,C_0603_1608Metric,44.31715,-43.918877,0.0,bottom
C121,0.1uF,C_0603_1608Metric,82.144556,-43.891264,0.0,bottom
C122,0.1uF,C_0603_1608Metric,101.393556,-43.891264,0.0,bottom
C123,0.1uF,C_0603_1608Metric,120.642556,-43.891264,0.0,bottom
C124,0.1uF,C_0603_1608Metric,139.891556,-43.891264,0.0,bottom
C125,0.1uF,C_0603_1608Metric,168.28143,-43.900046,0.0,bottom
C126,0.1uF,C_0603_1608Metric,187.290763,-43.900046,0.0,bottom
C127,0.1uF,C_0603_1608Metric,206.300097,-43.900046,0.0,bottom
C128,0.1uF,C_0603_1608Metric,225.30943,-43.900046,0.0,bottom
C129,0.1uF,C_0603_1608Metric,254.409,-43.918877,0.0,bottom
C13,0.1uF,C_0402_1005Metric,301.46067,-47.401025,90.0,bottom
C130,0.1uF,C_0603_1608Metric,273.2385,-43.918877,0.0,bottom
C131,100uF,C_1206_3216Metric,314.2,-87.22,270.0,bottom
C14,0.1uF,C_0402_1005Metric,331.931,-52.539,90.0,bottom
C15,0.1uF,C_0402_1005Metric,57.716,-34.382,270.0,bottom
C16,0.1uF,C_0402_1005Metric,52.11,-34.31,270.0,bottom
C17,27pF,C_0402_1005Metric,310.848888,-49.667939,90.0,bottom
C18,100uF,C_1206_3216Metric,343.751,-39.621,180.0,bottom
C19,1uF,C_0402_1005Metric,342.756,-41.27,180.0,bottom
C2,0.1uF,C_0402_1005Metric,321.22,-41.921,180.0,bottom
C20,0.1uF,C_0402_1005Metric,342.756,-42.43,180.0,bottom
C21,27pF,C_0402_1005Metric,305.753888,-49.570221,270.0,bottom
C22,10uF,C_0805_2012Metric,343.215,-44.082,0.0,bottom
C23,10uF,C_0805_2012Metric,341.146,-50.325,180.0,bottom
C24,100uF,C_1206_3216Metric,314.2,-70.28,270.0,bottom
C25,100uF,C_1206_3216Metric,310.025,-108.448,90.0,bottom
C26,100uF,C_1206_3216Metric,328.22,-130.13,90.0,bottom
C27,100uF,C_1206_3216Metric,174.43,-145.14,90.0,bottom
C28,100uF,C_1206_3216Metric,54.67,-44.45,90.0,bottom
C29,0.1uF,C_0603_1608Metric,94.655057,-143.931376,0.0,bottom
C3,0.1uF,C_0402_1005Metric,321.22,-42.891,180.0,bottom
C30,0.1uF,C_0603_1608Metric,166.278811,-143.931377,0.0,bottom
C31,0.1uF,C_0603_1608Metric,234.771535,-143.93,0.0,bottom
C32,0.1uF,C_0603_1608Metric,254.046035,-143.93,0.0,bottom
C33,0.1uF,C_0603_1608Metric,273.320535,-143.93,0.0,bottom
C34,0.1uF,C_0603_1608Metric,296.971057,-148.682167,0.0,bottom
C35,0.1uF,C_0603_1608Metric,315.793057,-148.682167,0.0,bottom
C36,0.1uF,C_0603_1608Metric,334.615057,-148.682167,0.0,bottom
C37,0.1uF,C_0603_1608Metric,368.368,-143.931377,0.0,bottom
C38,0.1uF,C_0603_1608Metric,396.237475,-143.911531,0.0,bottom
C39,0.1uF,C_0603_1608Metric,416.030695,-96.299855,0.0,bottom
C4,0.1uF,C_0402_1005Metric,321.22,-40.891,180.0,bottom
C40,0.1uF,C_0603_1608Metric,134.999,-105.831377,0.0,bottom
C41,0.1uF,C_0603_1608Metric,96.847,-105.831377,0.0,bottom
C42,0.1uF,C_0603_1608Metric,182.869,-124.881377,0.0,bottom
C43,0.1uF,C_0603_1608Metric,201.915,-124.881377,0.0,bottom
C44,0.1uF,C_0603_1608Metric,220.961,-124.881377,0.0,bottom
C45,0.1uF,C_0603_1608Metric,240.007,-124.881377,0.0,bottom
C46,0.1uF,C_0603_1608Metric,259.053,-124.881377,0.0,bottom
C47,0.1uF,C_0603_1608Metric,285.59,-124.881377,0.0,bottom
C48,0.1uF,C_0603_1608Metric,316.21,-129.643877,0.0,bottom
C49,0.1uF,C_0603_1608Metric,358.770028,-124.869328,0.0,bottom
C5,0.1uF,C_0402_1005Metric,314.617,-52.513,270.0,bottom
C50,0.1uF,C_0603_1608Metric,377.881028,-124.869328,0.0,bottom
C51,0.1uF,C_0603_1608Metric,396.992028,-124.869328,0.0,bottom
C52,0.1uF,C_0603_1608Metric,415.921,-134.406377,0.0,bottom
C53,0.1uF,C_0603_1608Metric,47.226538,-143.931376,0.0,bottom
C54,0.1uF,C_0603_1608Metric,71.097538,-143.931376,0.0,bottom
C55,0.1uF,C_0603_1608Metric,249.455,-105.831377,0.0,bottom
C56,0.1uF,C_0603_1608Metric,268.531,-105.831377,0.0,bottom
C57,0.1uF,C_0603_1608Metric,299.441,-105.831377,0.0,bottom
C58,0.1uF,C_0603_1608Metric,334.930515,-105.867339,0.0,bottom
C59,0.1uF,C_0603_1608Metric,358.886,-105.831377,0.0,bottom
C6,0.1uF,C_0402_1005Metric,314.63,-40.4,90.0,bottom
C60,0.1uF,C_0603_1608Metric,377.9045,-105.831377,0.0,bottom
C61,0.1uF,C_0603_1608Metric,396.923,-105.831377,0.0,bottom
C62,0.1uF,C_0603_1608Metric,56.287,-124.881377,0.0,bottom
C63,0.1uF,C_0603_1608Metric,87.398986,-124.873701,0.0,bottom
C64,0.1uF,C_0603_1608Metric,106.685,-124.881377,0.0,bottom
C65,0.1uF,C_0603_1608Metric,125.731,-124.881377,0.0,bottom
C66,0.1uF,C_0603_1608Metric,144.777,-124.881377,0.0,bottom
C67,0.1uF,C_0603_1608Metric,163.823,-124.881377,0.0,bottom
C68,0.1uF,C_0603_1608Metric,306.415689,-86.781377,0.0,bottom
C69,0.1uF,C_0603_1608Metric,334.935515,-86.817339,0.0,bottom
C7,0.1uF,C_0402_1005Metric,321.729,-45.747,180.0,bottom
C70,0.1uF,C_0603_1608Metric,359.113,-86.781377,0.0,bottom
C71,0.1uF,C_0603_1608Metric,377.635629,-86.781377,0.0,bottom
C72,0.1uF,C_0603_1608Metric,396.121179,-86.781377,0.0,bottom
C73,0.1uF,C_0603_1608Metric,51.729,-105.831377,0.0,bottom
C74,0.1uF,C_0603_1608Metric,77.771,-105.831377,0.0,bottom
C75,0.1uF,C_0603_1608Metric,115.923,-105.831377,0.0,bottom
C76,0.1uF,C_0603_1608Metric,154.075,-105.831377,0.0,bottom
C77,0.1uF,C_0603_1608Metric,173.151,-105.831377,0.0,bottom
C78,0.1uF,C_0603_1608Metric,192.227,-105.831377,0.0,bottom
C79,0.1uF,C_0603_1608Metric,211.303,-105.831377,0.0,bottom
C8,0.1uF,C_0402_1005Metric,310.507,-45.646,0.0,bottom
C80,0.1uF,C_0603_1608Metric,230.379,-105.831377,0.0,bottom
C81,0.1uF,C_0603_1608Metric,48.905,-86.781377,0.0,bottom
C82,0.1uF,C_0603_1608Metric,72.669883,-86.744586,0.0,bottom
C83,0.1uF,C_0603_1608Metric,91.691065,-86.744586,0.0,bottom
C84,0.1uF,C_0603_1608Metric,110.712247,-86.744586,0.0,bottom
C85,0.1uF,C_0603_1608Metric,129.733428,-86.744586,0.0,bottom
C86,0.1uF,C_0603_1608Metric,148.75461,-86.744586,0.0,bottom
C87,0.1uF,C_0603_1608Metric,167.775792,-86.744586,0.0,bottom
C88,0.1uF,C_0603_1608Metric,186.796974,-86.744586,0.0,bottom
C89,0.1uF,C_0603_1608Metric,205.818156,-86.744586,0.0,bottom
C9,0.1uF,C_0402_1005Metric,318.708,-52.631,270.0,bottom
C90,0.1uF,C_0603_1608Metric,224.839338,-86.744586,0.0,bottom
C91,0.1uF,C_0603_1608Metric,243.860519,-86.744586,0.0,bottom
C92,0.1uF,C_0603_1608Metric,262.881701,-86.744586,0.0,bottom
C93,0.1uF,C_0603_1608Metric,281.902883,-86.744586,0.0,bottom
C94,0.1uF,C_0603_1608Metric,158.757818,-67.743,0.0,bottom
C95,0.1uF,C_0603_1608Metric,177.833182,-67.755,0.0,bottom
C96,0.1uF,C_0603_1608Metric,196.908545,-67.755,0.0,bottom
C97,0.1uF,C_0603_1608Metric,215.983909,-67.738,0.0,bottom
C98,0.1uF,C_0603_1608Metric,235.059273,-67.788,0.0,bottom
C99,0.1uF,C_0603_1608Metric,254.134636,-67.79,0.0,bottom
D10,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,228.029605,-30.091644,270.0,bottom
D100,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,385.58,-130.2,270.0,bottom
D101,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,285.43,-134.87,270.0,bottom
D102,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,304.48,-134.87,270.0,bottom
D103,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,323.53,-134.87,270.0,bottom
D11,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,256.604605,-30.091644,270.0,bottom
D12,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,275.654605,-30.091644,270.0,bottom
D13,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,294.704605,-30.091644,270.0,bottom
D14,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,300.228268,-30.091644,270.0,bottom
D15,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,332.396,-28.028,270.0,bottom
D16,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,361.37,-30.091644,270.0,bottom
D17,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,380.42,-30.091644,270.0,bottom
D18,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,399.47,-30.091644,270.0,bottom
D19,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,418.52,-30.091644,270.0,bottom
D2,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,47.054605,-30.091644,270.0,bottom
D20,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,33.020001,-52.4125,270.0,bottom
D21,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,52.070001,-52.4125,270.0,bottom
D22,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,71.120001,-52.4125,270.0,bottom
D23,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,90.170001,-52.4125,270.0,bottom
D24,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,109.220001,-52.4125,270.0,bottom
D25,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,128.270001,-52.4125,270.0,bottom
D26,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,147.320001,-52.4125,270.0,bottom
D27,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,166.370001,-52.4125,270.0,bottom
D28,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,185.420001,-52.4125,270.0,bottom
D29,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,204.470001,-52.4125,270.0,bottom
D3,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,85.154605,-30.091644,270.0,bottom
D30,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,223.520001,-52.4125,270.0,bottom
D31,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,242.570001,-52.4125,270.0,bottom
D32,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,261.620001,-52.4125,270.0,bottom
D33,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,290.741,-54.105,180.0,bottom
D34,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,338.25,-57.75,90.0,bottom
D35,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,347.345001,-52.4125,270.0,bottom
D36,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,366.395001,-52.4125,270.0,bottom
D37,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,385.445001,-52.4125,270.0,bottom
D38,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,404.495001,-52.4125,270.0,bottom
D39,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,37.7675,-72.83,270.0,bottom
D4,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,104.204605,-30.091644,270.0,bottom
D40,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,61.58,-72.83,270.0,bottom
D41,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,80.63,-72.83,270.0,bottom
D42,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,99.68,-72.83,270.0,bottom
D43,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,118.73,-72.83,270.0,bottom
D44,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,137.78,-72.83,270.0,bottom
D45,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,156.83,-72.83,270.0,bottom
D46,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,175.88,-72.83,270.0,bottom
D47,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,194.93,-72.83,270.0,bottom
D48,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,213.98,-72.83,270.0,bottom
D49,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,233.03,-72.83,270.0,bottom
D5,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,123.254605,-30.091644,270.0,bottom
D50,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,252.08,-72.83,270.0,bottom
D51,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,271.13,-72.83,270.0,bottom
D52,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,294.9425,-72.83,270.0,bottom
D53,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,323.5175,-72.83,270.0,bottom
D54,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,347.33,-72.83,270.0,bottom
D55,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,366.38,-72.83,270.0,bottom
D56,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,385.43,-72.83,270.0,bottom
D57,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,412.051,-80.356,270.0,bottom
D58,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,40.45625,-92.06,270.0,bottom
D59,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,66.65,-92.06,270.0,bottom
D6,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,142.304605,-30.091644,270.0,bottom
D60,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,85.7,-92.06,270.0,bottom
D61,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,104.75,-92.06,270.0,bottom
D62,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,123.8,-92.06,270.0,bottom
D63,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,142.85,-92.06,270.0,bottom
D64,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,161.9,-92.06,270.0,bottom
D65,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,180.95,-92.06,270.0,bottom
D66,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,200.0,-92.06,270.0,bottom
D67,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,219.05,-92.06,270.0,bottom
D68,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,238.1,-92.06,270.0,bottom
D69,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,257.15,-92.06,270.0,bottom
D7,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,170.879605,-30.091644,270.0,bottom
